Number of students : 14
student id     Lab reports	Homework    Exams    Final Projects
    1             89		   73	      47	   55
    2	          78		   68	      57	   28
    3		  39		   92         77	   33
    4             83		   59	      56	   79
    5              8		   29	       9	   51
    6             28		   75	      56	   68
    7             74		   90	      28	   20
    8             64		    8	      59	   70
    9             49	  	   37	      49	   60
    10            92		   76	      89	   23
    11            62		   65	      90	   90
    12            19		   19	      37	   21
    13            59		   44	      89	   80
    14		  58		   93	      28	   67
